Time,Open,High,Low,Close,Volume
17.03.2015 21:56:00.000,1.05998,1.05999,1.05954,1.05964,105559997.5586
17.03.2015 21:57:00.000,1.05962,1.05997,1.05962,1.05980,80199996.9482
17.03.2015 21:58:00.000,1.05979,1.05987,1.05958,1.05985,88970001.2207
17.03.2015 21:59:00.000,1.05983,1.05994,1.05955,1.05963,83300003.0518
17.03.2015 22:00:00.000,1.05963,1.05966,1.05953,1.05957,58569999.6948
17.03.2015 22:01:00.000,1.05955,1.05961,1.05953,1.05955,15479999.5422
17.03.2015 22:02:00.000,1.05955,1.05964,1.05955,1.05963,46240001.6785
17.03.2015 22:03:00.000,1.05963,1.05965,1.05943,1.05945,39959999.0845
17.03.2015 22:04:00.000,1.05946,1.05950,1.05940,1.05940,47250000.0000
17.03.2015 22:05:00.000,1.05940,1.05949,1.05940,1.05949,32680000.3052
17.03.2015 22:06:00.000,1.05951,1.05951,1.05949,1.05949,10500000.0000
17.03.2015 22:07:00.000,1.05949,1.05950,1.05926,1.05926,44069999.6948
17.03.2015 22:08:00.000,1.05926,1.05935,1.05921,1.05934,34790000.9155
17.03.2015 22:09:00.000,1.05935,1.05935,1.05925,1.05934,36119998.9319
17.03.2015 22:10:00.000,1.05932,1.05940,1.05931,1.05932,23500000.0000
17.03.2015 22:11:00.000,1.05930,1.05930,1.05912,1.05928,35119998.9319
17.03.2015 22:12:00.000,1.05929,1.05929,1.05920,1.05920,29469999.3134
17.03.2015 22:13:00.000,1.05919,1.05922,1.05919,1.05921,11710000.0381
17.03.2015 22:14:00.000,1.05920,1.05927,1.05917,1.05927,36810001.3733
17.03.2015 22:15:00.000,1.05927,1.05929,1.05927,1.05927,6820000.1717
17.03.2015 22:16:00.000,1.05927,1.05942,1.05924,1.05938,33419998.1689
17.03.2015 22:17:00.000,1.05938,1.05938,1.05904,1.05913,121699996.9482
17.03.2015 22:18:00.000,1.05912,1.05912,1.05906,1.05906,25500000.0000
17.03.2015 22:19:00.000,1.05904,1.05909,1.05902,1.05902,34310001.3733
17.03.2015 22:20:00.000,1.05901,1.05923,1.05900,1.05922,42770000.4578
17.03.2015 22:21:00.000,1.05920,1.05923,1.05917,1.05920,23530000.6866
17.03.2015 22:22:00.000,1.05919,1.05926,1.05905,1.05909,76660003.6621
17.03.2015 22:23:00.000,1.05906,1.05909,1.05898,1.05905,44889999.3896
17.03.2015 22:24:00.000,1.05906,1.05908,1.05892,1.05893,62150001.5259
17.03.2015 22:25:00.000,1.05893,1.05904,1.05893,1.05903,16000000.0000
17.03.2015 22:26:00.000,1.05903,1.05903,1.05901,1.05901,7000000.0000
17.03.2015 22:27:00.000,1.05899,1.05902,1.05893,1.05902,20250000.0000
17.03.2015 22:28:00.000,1.05903,1.05903,1.05901,1.05903,12250000.0000
17.03.2015 22:29:00.000,1.05903,1.05903,1.05900,1.05902,11500000.0000
17.03.2015 22:30:00.000,1.05902,1.05903,1.05902,1.05903,8500000.0000
17.03.2015 22:31:00.000,1.05900,1.05900,1.05891,1.05897,42869998.9319
17.03.2015 22:32:00.000,1.05897,1.05898,1.05887,1.05898,55110000.6104
17.03.2015 22:33:00.000,1.05898,1.05898,1.05888,1.05895,19319999.6948
17.03.2015 22:34:00.000,1.05895,1.05900,1.05895,1.05900,7000000.0000
17.03.2015 22:35:00.000,1.05901,1.05903,1.05901,1.05903,5000000.0000
17.03.2015 22:36:00.000,1.05901,1.05901,1.05889,1.05895,24379999.1608
17.03.2015 22:37:00.000,1.05896,1.05896,1.05895,1.05896,9750000.0000
17.03.2015 22:38:00.000,1.05896,1.05899,1.05895,1.05899,15989999.7711
17.03.2015 22:39:00.000,1.05899,1.05900,1.05897,1.05898,19120000.8392
17.03.2015 22:40:00.000,1.05897,1.05897,1.05896,1.05896,6250000.0000
17.03.2015 22:41:00.000,1.05896,1.05898,1.05895,1.05895,9869999.8856
17.03.2015 22:42:00.000,1.05897,1.05898,1.05896,1.05898,7500000.0000
17.03.2015 22:43:00.000,1.05897,1.05898,1.05897,1.05898,18750000.0000
17.03.2015 22:44:00.000,1.05899,1.05909,1.05899,1.05909,8750000.0000
17.03.2015 22:45:00.000,1.05912,1.05929,1.05911,1.05929,30500000.0000
17.03.2015 22:46:00.000,1.05929,1.05930,1.05923,1.05927,45389999.3896
17.03.2015 22:47:00.000,1.05928,1.05928,1.05923,1.05928,33860000.6104
17.03.2015 22:48:00.000,1.05928,1.05928,1.05922,1.05925,36069999.6948
17.03.2015 22:49:00.000,1.05923,1.05923,1.05922,1.05922,4500000.0000
17.03.2015 22:50:00.000,1.05923,1.05924,1.05921,1.05922,16899999.6185
17.03.2015 22:51:00.000,1.05923,1.05924,1.05923,1.05923,4820000.1717
17.03.2015 22:52:00.000,1.05923,1.05923,1.05922,1.05922,6599999.9046
17.03.2015 22:53:00.000,1.05924,1.05938,1.05924,1.05938,16250000.0000
17.03.2015 22:54:00.000,1.05936,1.05936,1.05932,1.05933,18440000.5341
17.03.2015 22:55:00.000,1.05932,1.05939,1.05930,1.05937,27059999.4659
17.03.2015 22:56:00.000,1.05936,1.05936,1.05932,1.05933,8739999.7711
17.03.2015 22:57:00.000,1.05932,1.05932,1.05932,1.05932,5239999.7711
17.03.2015 22:58:00.000,1.05932,1.05933,1.05932,1.05932,40669998.1689
17.03.2015 22:59:00.000,1.05932,1.05937,1.05932,1.05937,22489999.7711
17.03.2015 23:00:00.000,1.05936,1.05937,1.05935,1.05936,37479999.5422
17.03.2015 23:01:00.000,1.05935,1.05936,1.05931,1.05933,67349998.4741
17.03.2015 23:02:00.000,1.05936,1.05937,1.05933,1.05933,21149999.6185
17.03.2015 23:03:00.000,1.05931,1.05931,1.05925,1.05927,26850000.3815
17.03.2015 23:04:00.000,1.05927,1.05927,1.05923,1.05927,15079999.9237
17.03.2015 23:05:00.000,1.05927,1.05927,1.05920,1.05924,51520000.4578
17.03.2015 23:06:00.000,1.05925,1.05925,1.05925,1.05925,12000000.0000
17.03.2015 23:07:00.000,1.05925,1.05928,1.05921,1.05928,55279998.7793
17.03.2015 23:08:00.000,1.05928,1.05929,1.05927,1.05927,52669998.1689
17.03.2015 23:09:00.000,1.05927,1.05937,1.05927,1.05930,38439998.6267
17.03.2015 23:10:00.000,1.05931,1.05941,1.05931,1.05941,16969999.3134
17.03.2015 23:11:00.000,1.05939,1.05941,1.05925,1.05925,49189998.6267
17.03.2015 23:12:00.000,1.05926,1.05947,1.05926,1.05947,44220001.2207
17.03.2015 23:13:00.000,1.05946,1.05946,1.05939,1.05939,14750000.0000
17.03.2015 23:14:00.000,1.05937,1.05937,1.05936,1.05937,10380000.1144
17.03.2015 23:15:00.000,1.05938,1.05943,1.05938,1.05939,10920000.0763
17.03.2015 23:16:00.000,1.05941,1.05967,1.05941,1.05956,49209999.0845
17.03.2015 23:17:00.000,1.05957,1.05968,1.05957,1.05968,35610000.6104
17.03.2015 23:18:00.000,1.05968,1.05970,1.05968,1.05969,3500000.0000
17.03.2015 23:19:00.000,1.05969,1.05969,1.05967,1.05969,4769999.9809
17.03.2015 23:20:00.000,1.05968,1.05968,1.05968,1.05968,1500000.0000
17.03.2015 23:21:00.000,1.05966,1.05968,1.05966,1.05968,16069999.6948
17.03.2015 23:22:00.000,1.05967,1.05968,1.05966,1.05968,9600000.3815
17.03.2015 23:23:00.000,1.05969,1.05970,1.05968,1.05970,17690000.5341
17.03.2015 23:24:00.000,1.05969,1.05971,1.05968,1.05971,13500000.0000
17.03.2015 23:25:00.000,1.05969,1.05969,1.05956,1.05957,34720001.2207
17.03.2015 23:26:00.000,1.05958,1.05967,1.05958,1.05967,15789999.9619
17.03.2015 23:27:00.000,1.05966,1.05966,1.05965,1.05966,18190000.5341
17.03.2015 23:28:00.000,1.05967,1.05967,1.05956,1.05956,18500000.0000
17.03.2015 23:29:00.000,1.05955,1.05955,1.05948,1.05949,17719999.3134
17.03.2015 23:30:00.000,1.05950,1.05952,1.05947,1.05947,17270000.4578
17.03.2015 23:31:00.000,1.05946,1.05946,1.05940,1.05940,17760000.2289
17.03.2015 23:32:00.000,1.05941,1.05942,1.05941,1.05942,20000000.0000
17.03.2015 23:33:00.000,1.05941,1.05953,1.05941,1.05951,27680000.3052
17.03.2015 23:34:00.000,1.05950,1.05954,1.05950,1.05954,16069999.6948
17.03.2015 23:35:00.000,1.05958,1.05961,1.05958,1.05960,20750000.0000
17.03.2015 23:36:00.000,1.05961,1.05962,1.05960,1.05962,18750000.0000
17.03.2015 23:37:00.000,1.05963,1.05969,1.05963,1.05969,18620000.8392
17.03.2015 23:38:00.000,1.05970,1.05970,1.05967,1.05968,22739999.7711
17.03.2015 23:39:00.000,1.05967,1.05968,1.05967,1.05968,6250000.0000
17.03.2015 23:40:00.000,1.05967,1.05969,1.05967,1.05968,9000000.0000
17.03.2015 23:41:00.000,1.05968,1.05968,1.05962,1.05963,11350000.3815
17.03.2015 23:42:00.000,1.05964,1.05964,1.05961,1.05962,13369999.8856
17.03.2015 23:43:00.000,1.05962,1.05962,1.05961,1.05961,5570000.1717
17.03.2015 23:44:00.000,1.05964,1.05964,1.05959,1.05961,28930000.3052
17.03.2015 23:45:00.000,1.05960,1.05961,1.05960,1.05960,5000000.0000
17.03.2015 23:46:00.000,1.05961,1.05962,1.05961,1.05962,3000000.0000
17.03.2015 23:47:00.000,1.05961,1.05968,1.05961,1.05968,10000000.0000
17.03.2015 23:48:00.000,1.05969,1.05973,1.05969,1.05973,19370000.8392
17.03.2015 23:49:00.000,1.05973,1.05996,1.05973,1.05994,60659999.8474
17.03.2015 23:50:00.000,1.05994,1.05998,1.05990,1.05993,34439998.6267
17.03.2015 23:51:00.000,1.05993,1.05993,1.05975,1.05983,43349998.4741
17.03.2015 23:52:00.000,1.05981,1.05981,1.05975,1.05979,22319999.6948
17.03.2015 23:53:00.000,1.05979,1.05979,1.05971,1.05974,29389999.3896
17.03.2015 23:54:00.000,1.05974,1.05976,1.05969,1.05970,23729999.5422
17.03.2015 23:55:00.000,1.05969,1.05977,1.05969,1.05975,19319999.6948
17.03.2015 23:56:00.000,1.05974,1.05975,1.05969,1.05969,18940000.5341
17.03.2015 23:57:00.000,1.05969,1.05978,1.05969,1.05978,20250000.0000
17.03.2015 23:58:00.000,1.05979,1.05980,1.05962,1.05966,31930000.3052
17.03.2015 23:59:00.000,1.05963,1.05963,1.05950,1.05950,55990001.6785
18.03.2015 00:00:00.000,1.05948,1.05951,1.05945,1.05948,43619998.9319
18.03.2015 00:01:00.000,1.05948,1.05961,1.05948,1.05960,53549999.2371
18.03.2015 00:02:00.000,1.05962,1.05969,1.05962,1.05963,53700000.7629
18.03.2015 00:03:00.000,1.05965,1.05980,1.05965,1.05980,53490001.6785
18.03.2015 00:04:00.000,1.05980,1.05980,1.05967,1.05967,26739999.7711
18.03.2015 00:05:00.000,1.05968,1.05972,1.05968,1.05972,8250000.0000
18.03.2015 00:06:00.000,1.05976,1.05980,1.05970,1.05972,23479999.5422
18.03.2015 00:07:00.000,1.05972,1.05972,1.05951,1.05959,52979999.5422
